LoggerBefore,DeviceTime,Light,Setpoint,Intensity,LoggerAfter
1589810484.607168436,1589803285.060837030,0,0,0,1589810484.607168436
1589810484.607168436,1589803285.068881035,0,0,0,1589810484.607168436
1589810484.607168436,1589803285.076929092,0,0,0,1589810484.607168436
1589810484.607168436,1589803285.085058928,0,0,0,1589810484.607168436
1589810484.645074606,1589803285.093050957,0,0,0,1589810484.645074606
1589810484.692423105,1589803285.100964069,0,0,0,1589810484.692423105
1589810484.768160820,1589803285.110342979,0,0,0,1589810484.768160820
1589810484.768160820,1589803285.118695021,0,0,0,1589810484.768160820
1589810484.768160820,1589803285.127648115,0,0,0,1589810484.768160820
1589810484.768160820,1589803285.136045933,0,0,0,1589810484.768160820
1589810484.768160820,1589803285.144402981,0,0,0,1589810484.768160820
1589810484.768160820,1589803285.152445078,0,0,0,1589810484.768160820
1589810484.768160820,1589803285.160443068,0,0,0,1589810484.768160820
1589810484.768160820,1589803285.168618917,0,0,0,1589810484.768160820
1589810484.768160820,1589803285.176776886,0,0,0,1589810484.768160820
1589810484.776160479,1589803285.184890985,0,0,0,1589810484.776160479
1589810484.776160479,1589803285.194175005,0,0,0,1589810484.776160479
1589810484.776160479,1589803285.202586889,0,0,0,1589810484.776160479
1589810484.776160479,1589803285.211268902,0,0,0,1589810484.776160479
1589810484.776160479,1589803285.219510078,0,0,0,1589810484.776160479
1589810484.776160479,1589803285.227613926,0,0,0,1589810484.776160479
1589810484.776160479,1589803285.235685110,0,0,0,1589810484.776160479
1589810484.776160479,1589803285.244282007,0,0,0,1589810484.776160479
1589810484.776160479,1589803285.252270937,0,0,0,1589810484.776160479
1589810484.852298498,1589803285.260250092,0,0,0,1589810484.852298498
1589810484.933789015,1589803285.269649029,0,0,0,1589810484.933789015
1589810484.933789015,1589803285.277964115,0,0,0,1589810484.933789015
1589810484.933789015,1589803285.286102057,0,0,0,1589810484.933789015
1589810484.933789015,1589803285.294951916,0,0,0,1589810484.933789015
1589810484.933789015,1589803285.303174973,0,0,0,1589810484.933789015
1589810484.933789015,1589803285.311233997,0,0,0,1589810484.933789015
1589810484.933789015,1589803285.319263935,0,0,0,1589810484.933789015
1589810484.933789015,1589803285.327423096,0,0,0,1589810484.933789015
1589810484.933789015,1589803285.335627079,0,0,0,1589810484.933789015
1589810484.938911438,1589803285.344286919,0,0,0,1589810484.938911438
1589810484.939790249,1589803285.353878021,0,0,0,1589810484.939790249
1589810484.939790249,1589803285.362226009,0,0,0,1589810484.939790249
1589810484.939790249,1589803285.371026039,0,0,0,1589810484.939790249
1589810484.939790249,1589803285.379062891,0,0,0,1589810484.939790249
1589810484.939790249,1589803285.387025118,0,0,0,1589810484.939790249
1589810484.939790249,1589803285.394934893,0,0,0,1589810484.939790249
1589810484.939790249,1589803285.402929068,0,0,0,1589810484.939790249
1589810484.939790249,1589803285.410933971,0,0,0,1589810484.939790249
1589810484.981788635,1589803285.418926001,0,0,0,1589810484.981788635
1589810485.020430088,1589803285.426873922,0,0,0,1589810485.020430088
