Before,After,Value
1589812511.839622259,1589812511.941467047,0
1589812516.941736698,1589812517.036489010,100
1589812522.037285805,1589812522.144463062,0
1589812527.144647598,1589812527.252920628,100
1589812532.253120661,1589812532.358989716,0
1589812537.359053135,1589812537.449044228,100
1589812542.449614048,1589812542.542625904,0
1589812547.543518305,1589812547.644822359,100
1589812552.645769835,1589812552.749095440,0
1589812557.749498367,1589812557.852788448,100
1589812562.852940559,1589812562.952226639,0
1589812567.952749968,1589812568.050573826,100
1589812573.050976515,1589812573.144052267,0
1589812578.144479275,1589812578.227945805,100
1589812583.228681564,1589812583.329137325,0
1589812588.330062628,1589812588.423370838,100
1589812593.423821449,1589812593.513353825,0
1589812598.513855219,1589812598.613694906,100
1589812603.613975048,1589812603.716836214,0
1589812608.716857910,1589812608.820976973,100
1589812613.820989847,1589812613.914549589,0
1589812618.915510893,1589812619.007461071,100
1589812624.007708788,1589812624.109621525,0
1589812629.109998941,1589812629.216294765,100
1589812634.216470003,1589812634.311374664,0
1589812639.311655760,1589812639.403824091,100
1589812644.404252052,1589812644.499683142,0
1589812649.500440121,1589812649.595576763,100
1589812654.595657110,1589812654.699385643,0
1589812659.699418545,1589812659.802445889,100
1589812664.802458286,1589812664.903530121,0
1589812669.904087067,1589812670.004449129,100
1589812675.005324841,1589812675.098066092,0
1589812680.098700285,1589812680.194904327,100
1589812685.195511818,1589812685.303561449,0
1589812690.303622723,1589812690.403151512,100
1589812695.404008389,1589812695.497886658,0
1589812700.498308659,1589812700.593878031,100
1589812705.593899250,1589812705.695793390,0
1589812710.695982695,1589812710.796284676,100
1589812715.796863079,1589812715.893633127,0
1589812720.893887043,1589812720.993609190,100
1589812725.994528055,1589812726.093564987,0
1589812731.094493389,1589812731.196382284,100
1589812736.196841478,1589812736.295737743,0
1589812741.295810461,1589812741.387812614,100
1589812746.388104677,1589812746.488622904,0
1589812751.488738537,1589812751.594046116,100
1589812756.594585180,1589812756.695366621,0
1589812761.695627928,1589812761.796618700,100
1589812766.796730518,1589812766.905605316,0
1589812771.905644894,1589812771.998733759,100
1589812776.999601126,1589812777.099603891,0
1589812782.100558519,1589812782.196531773,100
1589812787.197377682,1589812787.297828197,0
1589812792.298408747,1589812792.399144650,100
1589812797.399338961,1589812797.494413376,0
1589812802.495231628,1589812802.584975004,100
1589812807.585804701,1589812807.686334133,0
1589812812.687059164,1589812812.783474207,100
1589812817.783818483,1589812817.895099401,0
1589812822.895649195,1589812822.994656801,100
1589812827.995444536,1589812828.099251270,0
1589812833.100005150,1589812833.199436903,100
1589812838.200021029,1589812838.302047729,0
1589812843.302357912,1589812843.403863192,100
1589812848.404240847,1589812848.495044708,0
1589812853.495104313,1589812853.597267866,100
1589812858.597347260,1589812858.695015430,0
1589812863.696142435,1589812863.793767929,100
1589812868.794158936,1589812868.889265060,0
1589812873.889432907,1589812873.986125469,100
1589812878.986166477,1589812879.080818415,0
