Before,After,Value
1589827255.695623875,1589827255.780623198,100
1589827260.780623198,1589827260.867623091,0
1589827265.868622541,1589827265.979623795,100
1589827270.980623245,1589827271.082622766,0
1589827276.082623243,1589827276.179623365,100
1589827281.180623531,1589827281.272622585,0
1589827286.272623539,1589827286.354622126,100
1589827291.355622053,1589827291.453623056,0
1589827296.453623295,1589827296.539623499,100
1589827301.540623188,1589827301.633623362,0
1589827306.634622812,1589827306.740622282,100
1589827311.740623951,1589827311.832624674,0
1589827316.833622456,1589827316.931623459,100
1589827321.932622910,1589827322.017622948,0
1589827327.018621922,1589827327.110623598,100
1589827332.110624313,1589827332.210626364,0
1589827337.211623430,1589827337.317622185,100
1589827342.318621635,1589827342.415622473,0
1589827347.415622711,1589827347.508622169,100
1589827352.508671761,1589827352.595766068,0
1589827357.596647978,1589827357.703569412,100
1589827362.704558611,1589827362.812559843,0
1589827367.813559294,1589827367.909558296,100
1589827372.909559011,1589827373.003559828,0
1589827378.003901720,1589827378.102926254,100
1589827383.103901386,1589827383.213900805,0
1589827388.214900970,1589827388.314901352,100
1589827393.314901352,1589827393.418901205,0
1589827398.419900656,1589827398.517901421,100
1589827403.518899918,1589827403.645900726,0
1589827408.645900965,1589827408.750900984,100
1589827413.750901699,1589827413.854902029,0
1589827418.855246544,1589827418.949722052,100
1589827423.950332880,1589827424.078047037,0
1589827429.078675747,1589827429.169712305,100
1589827434.170631647,1589827434.264631510,0
1589827439.265567064,1589827439.369058609,100
1589827444.370368958,1589827444.468302488,0
1589827449.468552113,1589827449.569551468,100
1589827454.570090055,1589827454.670592546,0
1589827459.671432257,1589827459.771750212,100
1589827464.772642136,1589827464.898659229,0
1589827469.899270058,1589827470.000839472,100
1589827475.001526356,1589827475.091537237,0
1589827480.092496395,1589827480.188496828,100
1589827485.189265013,1589827485.286272049,0
1589827490.286716461,1589827490.382714987,100
1589827495.383697510,1589827495.481262684,0
1589827500.481618404,1589827500.573619127,100
1589827505.574045658,1589827505.666922808,0
1589827510.667183638,1589827510.775182486,100
1589827515.775621653,1589827516.323452473,0
1589827521.324324846,1589827521.924541473,100
1589827526.925453663,1589827527.604019403,0
1589827532.604945421,1589827533.043832302,100
1589827538.044207573,1589827538.748125553,0
1589827543.748681307,1589827544.236418962,100
1589827549.236514091,1589827549.819652081,0
1589827554.820183992,1589827555.127891541,100
1589827560.128633499,1589827560.561428547,0
1589827565.562184095,1589827566.194746256,100
1589827571.195286036,1589827572.002312422,0
1589827577.002466917,1589827577.229343891,100
1589827582.229722738,1589827582.615820169,0
1589827587.616195679,1589827587.991727591,100
1589827592.991935730,1589827593.609475851,0
1589827598.609542608,1589827599.183906317,100
1589827604.184612036,1589827604.655309200,0
1589827609.655454397,1589827610.209897041,100
1589827615.209964037,1589827615.826038599,0
1589827620.826281786,1589827621.343165874,100
1589827626.344084263,1589827627.010000467,0
1589827632.010113478,1589827632.571489334,100
1589827637.571759701,1589827638.138398886,0
1589827643.138853550,1589827643.745290995,100
1589827648.746226072,1589827649.467296600,0
1589827654.468290806,1589827655.257251978,100
1589827660.257270098,1589827660.423241615,0
1589827665.423954010,1589827665.902118683,100
1589827670.902949810,1589827671.646450281,0
1589827676.647129774,1589827677.146100998,100
1589827682.146689177,1589827682.834151983,0
1589827687.834279060,1589827688.201467752,100
1589827693.201635361,1589827693.677559137,0
1589827698.678102493,1589827699.414587975,100
1589827704.415426016,1589827704.888248205,0
1589827709.888861656,1589827710.522374868,100
1589827715.522554636,1589827716.135025978,0
1589827721.135126352,1589827721.349126339,100
1589827726.349366188,1589827726.908465862,0
1589827731.908710957,1589827732.352120876,100
1589827737.352412462,1589827737.985129356,0
1589827742.985351086,1589827743.447365284,100
1589827748.447645903,1589827748.550647736,0
1589827753.550993919,1589827753.652119875,100
1589827758.652603865,1589827758.755883932,0
1589827763.756167889,1589827763.851475716,100
1589827768.851705790,1589827768.954799175,0
1589827773.955459118,1589827774.057962418,100
1589827779.058836937,1589827779.177254677,0
1589827784.177881956,1589827784.279905319,100
1589827789.280729055,1589827789.386622190,0
1589827794.387433529,1589827794.478503466,100
1589827799.479396343,1589827799.594231606,0
1589827804.595048666,1589827804.694956779,100
1589827809.695847273,1589827809.793844461,0
1589827814.794808865,1589827814.887697458,100
1589827819.887805939,1589827819.989070654,0
1589827824.989485979,1589827825.083803177,100
1589827830.084790230,1589827830.183914661,0
1589827835.184458733,1589827835.287001133,100
1589827840.287246227,1589827840.391984940,0
1589827845.392372131,1589827845.489350319,100
1589827850.489539385,1589827850.585859537,0
1589827855.585863113,1589827855.681153059,100
1589827860.681847334,1589827860.775995731,0
1589827865.776593685,1589827865.877058983,100
1589827870.877353430,1589827870.961458921,0
1589827875.962044001,1589827876.071003199,100
1589827881.071901798,1589827881.163087606,0
1589827886.163234234,1589827886.260393143,100
1589827891.261376858,1589827891.363044024,0
1589827896.363725901,1589827896.461729765,100
1589827901.463454485,1589827901.561942577,0
1589827906.562079191,1589827906.658118725,100
1589827911.658488274,1589827911.751281977,0
1589827916.751877546,1589827916.850122929,100
1589827921.850437880,1589827921.946061850,0
1589827926.946855307,1589827927.050848246,100
1589827932.051527739,1589827932.152683735,0
1589827937.152894497,1589827937.257175922,100
1589827942.257794380,1589827942.353846312,0
1589827947.353950024,1589827947.456199408,100
1589827952.457184315,1589827952.555558681,0
1589827957.556350708,1589827957.654200554,100
1589827962.654318571,1589827962.751199722,0
1589827967.752141476,1589827967.855180502,100
1589827972.856225729,1589827972.957382441,0
1589827977.957613230,1589827978.063879013,100
1589827983.064579725,1589827983.162078857,0
1589827988.162244081,1589827988.260402679,100
1589827993.261641741,1589827993.362854481,0
1589827998.363322258,1589827998.457561016,100
1589828003.458166838,1589828003.561189175,0
1589828008.562120438,1589828008.664187670,100
1589828013.664628267,1589828013.764286280,0
1589828018.764769793,1589828018.859646559,100
1589828023.859798193,1589828023.949725151,0
1589828028.950013399,1589828029.044370651,100
1589828034.044478655,1589828034.145397902,0
1589828039.146184444,1589828039.252184629,100
1589828044.252720118,1589828044.351557016,0
1589828049.352448940,1589828049.455504894,100
