CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589825266.7396913,1589818067.7620687,1589818067.7620687,100.0,1589818068.091309
1589825271.8344903,1589818072.85249,1589818072.85249,0.0,1589818073.163756
1589825276.9250202,1589818077.9431527,1589818077.9431527,100.0,1589818078.24846
1589825282.0442207,1589818083.062319,1589818083.062319,0.0,1589818083.3239048
1589825287.1415806,1589818088.160256,1589818088.160256,100.0,1589818088.4058437
1589825292.2428536,1589818093.254254,1589818093.254254,0.0,1589818093.491318
1589825297.342005,1589818098.3596137,1589818098.3596137,100.0,1589818098.570919
1589825302.4279215,1589818103.439753,1589818103.439753,0.0,1589818103.649265
1589825307.5276346,1589818108.551757,1589818108.551757,100.0,1589818108.727071
1589825312.6244726,1589818113.6387167,1589818113.6387167,0.0,1589818113.8154128
1589825317.724723,1589818118.752826,1589818118.752826,100.0,1589818118.895913
1589825322.848494,1589818123.8622227,1589818123.8622227,0.0,1589818123.9713087
1589825327.9446306,1589818128.9644387,1589818128.9644387,100.0,1589818129.050558
1589825333.0435815,1589818134.063446,1589818134.063446,0.0,1589818134.648173
1589825338.1421196,1589818139.1739821,1589818139.1739821,100.0,1589818139.7258508
1589825343.246758,1589818144.272153,1589818144.272153,0.0,1589818144.80505
1589825348.3418007,1589818149.378072,1589818149.378072,100.0,1589818149.8880508
1589825353.4300492,1589818154.464435,1589818154.464435,0.0,1589818154.968618
1589825358.5266886,1589818159.5447059,1589818159.5447059,100.0,1589818160.048421
1589825363.6261532,1589818164.648349,1589818164.648349,0.0,1589818165.124031
1589825368.7263975,1589818169.752859,1589818169.752859,100.0,1589818170.210926
1589825373.820602,1589818174.837423,1589818174.837423,0.0,1589818175.2844636
1589825378.9168348,1589818179.946048,1589818179.946048,100.0,1589818180.3678339
1589825384.0226336,1589818185.042768,1589818185.042768,0.0,1589818185.448785
1589825389.1258662,1589818190.152086,1589818190.152086,100.0,1589818190.532811
1589825394.2300298,1589818195.251833,1589818195.251833,0.0,1589818195.615904
1589825399.3298826,1589818200.3643858,1589818200.3643858,100.0,1589818200.699644
1589825404.431406,1589818205.473624,1589818205.473624,0.0,1589818205.777601
1589825409.524909,1589818210.540008,1589818210.540008,100.0,1589818210.8597538
1589825414.6410387,1589818215.6564908,1589818215.6564908,0.0,1589818215.9366043
1589825419.734051,1589818220.7558787,1589818220.7558787,100.0,1589818221.019179
1589825424.8394291,1589818225.8634207,1589818225.8634207,0.0,1589818226.100511
1589825429.9361043,1589818230.951563,1589818230.951563,100.0,1589818231.187728
1589825435.029261,1589818236.0556762,1589818236.0556762,0.0,1589818236.2664428
1589825440.1448286,1589818241.1675558,1589818241.1675558,100.0,1589818241.351542
1589825445.2525978,1589818246.276163,1589818246.276163,0.0,1589818246.434784
1589825450.3608696,1589818251.3836067,1589818251.3836067,100.0,1589818251.517557
1589825455.4625306,1589818256.488732,1589818256.488732,0.0,1589818256.599718
1589825460.5690396,1589818261.6183248,1589818261.6183248,100.0,1589818262.186617
1589825465.67092,1589818266.6940536,1589818266.6940536,0.0,1589818267.2710419
1589825470.7689185,1589818271.792763,1589818271.792763,100.0,1589818272.350757
1589825475.8715012,1589818276.8992922,1589818276.8992922,0.0,1589818277.432747
1589825480.9679883,1589818281.9846108,1589818281.9846108,100.0,1589818282.5170887
1589825486.0633504,1589818287.088218,1589818287.088218,0.0,1589818287.591783
1589825491.1602368,1589818292.188073,1589818292.188073,100.0,1589818292.6747327
1589825496.2497725,1589818297.277737,1589818297.277737,0.0,1589818297.763055
1589825501.3397465,1589818302.359761,1589818302.359761,100.0,1589818302.8418498
1589825506.448007,1589818307.4744658,1589818307.4744658,0.0,1589818307.9249907
1589825511.545957,1589818312.569032,1589818312.569032,100.0,1589818313.004041
1589825516.6663811,1589818317.690462,1589818317.690462,0.0,1589818318.0797958
1589825521.7683167,1589818322.800929,1589818322.800929,100.0,1589818323.169615
1589825526.8779948,1589818327.8968818,1589818327.8968818,0.0,1589818328.2419949
1589825531.976994,1589818332.999616,1589818332.999616,100.0,1589818333.326332
1589825537.0763507,1589818338.103888,1589818338.103888,0.0,1589818338.405503
1589825542.1743836,1589818343.204823,1589818343.204823,100.0,1589818343.4837723
1589825547.2750692,1589818348.304222,1589818348.304222,0.0,1589818348.566712
1589825552.3804953,1589818353.4110928,1589818353.4110928,100.0,1589818353.646533
1589825557.4762442,1589818358.5015028,1589818358.5015028,0.0,1589818358.7308
1589825562.5770535,1589818363.5984578,1589818363.5984578,100.0,1589818363.808782
1589825567.6799302,1589818368.7048602,1589818368.7048602,0.0,1589818368.8908627
1589825572.7795742,1589818373.797964,1589818373.797964,100.0,1589818373.9758658
1589825577.8830068,1589818378.9164627,1589818378.9164627,0.0,1589818379.0578547
1589825582.9803703,1589818384.0128047,1589818384.0128047,100.0,1589818384.138044
1589825588.0742457,1589818389.100063,1589818389.100063,0.0,1589818389.2187667
1589825593.1670706,1589818394.187381,1589818394.187381,100.0,1589818394.299026
1589825598.2593632,1589818399.277763,1589818399.277763,0.0,1589818399.3782969
1589825603.3519151,1589818404.3752198,1589818404.3752198,100.0,1589818404.4591208
1589825608.4496288,1589818409.477421,1589818409.477421,0.0,1589818410.044962
1589825613.5521255,1589818414.581385,1589818414.581385,100.0,1589818415.1234179
1589825618.6519167,1589818419.673751,1589818419.673751,0.0,1589818420.208746
1589825623.7628422,1589818424.7904541,1589818424.7904541,100.0,1589818425.292134
1589825628.8625124,1589818429.8920782,1589818429.8920782,0.0,1589818430.3721647
1589825633.950996,1589818434.974515,1589818434.974515,100.0,1589818435.456953
1589825639.0509343,1589818440.098742,1589818440.098742,0.0,1589818440.5382617
1589825644.1347654,1589818445.1584127,1589818445.1584127,100.0,1589818445.6143987
1589825649.2366471,1589818450.27285,1589818450.27285,0.0,1589818450.6938148
1589825654.3330944,1589818455.359818,1589818455.359818,100.0,1589818455.7823277
1589825659.4245882,1589818460.447229,1589818460.447229,0.0,1589818460.861491
1589825664.5288334,1589818465.561358,1589818465.561358,100.0,1589818465.9485347
1589825669.6339974,1589818470.671444,1589818470.671444,0.0,1589818471.0317447
1589825674.7296348,1589818475.7650259,1589818475.7650259,100.0,1589818476.1114573
1589825679.830413,1589818480.861899,1589818480.861899,0.0,1589818481.194188
1589825684.92857,1589818485.9538074,1589818485.9538074,100.0,1589818486.2753267
1589825690.0352619,1589818491.0661807,1589818491.0661807,0.0,1589818491.352879
1589825695.131546,1589818496.168791,1589818496.168791,100.0,1589818496.4304967
