CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589825996.0480306,1589818797.076419,1589825996.228144,0.0,1589825996.715547
1589826001.134653,1589818802.1700509,1589826001.4006515,100.0,1589826001.8156524
1589826006.229652,1589818807.2615502,1589826006.4426525,0.0,1589826006.8646524
1589826011.3226528,1589818812.360453,1589826011.558653,100.0,1589826012.0186522
1589826016.4236531,1589818817.471298,1589826016.6346524,0.0,1589826017.043653
1589826021.5276532,1589818822.565451,1589826021.6996531,100.0,1589826022.1526527
1589826026.627652,1589818827.65896,1589826026.8146548,0.0,1589826027.2346542
1589826031.7356522,1589818832.772006,1589826031.9466524,100.0,1589826032.249653
1589826036.82385,1589818837.854624,1589826037.0111387,0.0,1589826037.3387172
1589826041.9268327,1589818842.961401,1589826042.128781,100.0,1589826042.4632282
1589826047.0271652,1589818848.056719,1589826047.1938689,0.0,1589826047.4938686
1589826052.1304524,1589818853.1695948,1589826052.319218,100.0,1589826052.6041658
1589826057.2296796,1589818858.269883,1589826057.461677,0.0,1589826057.7168455
1589826062.3360045,1589818863.380067,1589826062.5310042,100.0,1589826062.734029
1589826067.4410043,1589818868.4800467,1589826067.6311355,0.0,1589826067.798039
1589826072.5530007,1589818873.6180668,1589826072.7450016,100.0,1589826072.9060023
1589826077.6600022,1589818878.704102,1589826077.8800015,0.0,1589826078.0100012
1589826082.7645788,1589818883.800905,1589826082.9886065,100.0,1589826083.0686018
1589826087.869603,1589818888.9099967,1589826088.104578,0.0,1589826088.140578
1589826092.9655783,1589818894.004748,1589826093.114608,100.0,1589826093.6976058
1589826098.0706098,1589818899.108635,1589826098.2305777,0.0,1589826098.7575777
1589826103.1566074,1589818904.210287,1589826103.3156054,100.0,1589826103.8689795
1589826108.250954,1589818909.284486,1589826108.480955,0.0,1589826108.9919548
1589826113.3519828,1589818914.3907468,1589826113.5849552,100.0,1589826114.0019875
1589826118.4517658,1589818919.4824867,1589826118.6287663,0.0,1589826119.0947661
1589826123.5559685,1589818924.5950668,1589826123.7769682,100.0,1589826124.1769676
1589826128.6586707,1589818929.7053468,1589826128.8583322,0.0,1589826129.2707675
1589826133.7442951,1589818934.779765,1589826133.913609,100.0,1589826134.3406067
1589826138.8426063,1589818939.879693,1589826139.0716066,0.0,1589826139.464606
1589826143.9456074,1589818944.9864922,1589826144.127607,100.0,1589826144.452606
1589826149.0406067,1589818950.0793087,1589826149.2676065,0.0,1589826149.5556066
1589826154.1386073,1589818955.1817741,1589826154.398606,100.0,1589826154.6546068
1589826159.2386074,1589818960.277923,1589826159.4361155,0.0,1589826159.718115
1589826164.3421159,1589818965.3918462,1589826164.5681145,100.0,1589826164.8241158
1589826169.4417455,1589818970.4795587,1589826169.6179662,0.0,1589826169.9197102
1589826174.5484192,1589818975.5809987,1589826174.7264173,100.0,1589826174.9837556
1589826179.6532931,1589818980.693565,1589826179.821305,0.0,1589826180.0262659
1589826184.750112,1589818985.78675,1589826184.963111,100.0,1589826185.1191118
1589826189.854251,1589818990.894424,1589826190.0507023,0.0,1589826190.217785
1589826194.9454787,1589818995.985648,1589826195.1533809,100.0,1589826195.3143578
1589826200.0423462,1589819001.0810843,1589826200.2504163,0.0,1589826200.3939462
1589826205.129904,1589819006.165586,1589826205.3229747,100.0,1589826205.4571056
1589826210.2264364,1589819011.277049,1589826210.4504638,0.0,1589826210.5774655
1589826215.3213713,1589819016.3680382,1589826215.4793723,100.0,1589826215.6633716
1589826220.4118822,1589819021.4571662,1589826220.61988,0.0,1589826220.741881
1589826225.513882,1589819026.5537639,1589826225.71088,100.0,1589826225.7898812
1589826230.6288812,1589819031.666774,1589826230.8158813,0.0,1589826231.3618813
1589826235.729883,1589819036.7693737,1589826235.9398806,100.0,1589826236.4528809
1589826240.8338828,1589819041.873862,1589826241.0328813,0.0,1589826241.5488813
1589826245.9363906,1589819046.9790413,1589826246.1333902,100.0,1589826246.6333902
1589826251.0414596,1589819052.076747,1589826251.2421894,0.0,1589826251.6532078
1589826256.1481836,1589819057.188544,1589826256.337966,100.0,1589826256.7844062
1589826261.2537017,1589819062.2908998,1589826261.4407396,0.0,1589826261.8309004
1589826266.352963,1589819067.391215,1589826266.586287,100.0,1589826266.964693
1589826271.4539073,1589819072.4934297,1589826271.6523087,0.0,1589826272.0410414
1589826276.5716655,1589819077.625575,1589826276.8156667,100.0,1589826277.074665
1589826281.6624455,1589819082.705887,1589826281.856731,0.0,1589826282.1543427
1589826286.7753499,1589819087.8237379,1589826287.017132,100.0,1589826287.2672179
1589826291.8834796,1589819092.925707,1589826292.0810783,0.0,1589826292.3354268
1589826296.9832463,1589819098.022233,1589826297.1244144,100.0,1589826297.3794727
1589826302.0861483,1589819103.130434,1589826302.2981489,0.0,1589826302.457149
1589826307.199147,1589819108.242646,1589826307.3791482,100.0,1589826307.6181479
1589826312.3011491,1589819113.343876,1589826312.5391476,0.0,1589826312.620149
1589826317.406148,1589819118.4499652,1589826317.610149,100.0,1589826317.7731488
